,source,destination,weight
0,ts-ui-dashboard,ts-ui-dashboard,1
1,ts-preserve-service,ts-order-service,1
2,ts-preserve-service,ts-ticketinfo-service,1
3,ts-preserve-service,ts-travel-service,1
4,ts-preserve-service,ts-contacts-service,1
5,ts-preserve-service,ts-seat-service,1
7,ts-preserve-service,ts-food-service,1
8,ts-preserve-service,ts-security-service,1
9,ts-preserve-service,ts-station-service,1
10,ts-preserve-service,ts-user-service,1
11,ts-preserve-service,ts-consign-service,1
12,ts-preserve-service,ts-assurance-service,1
13,ts-cancel-service,ts-order-service,1
14,ts-cancel-service,ts-inside-payment-service,1
15,ts-cancel-service,ts-user-service,1
16,ts-cancel-service,ts-order-other-service,1
17,ts-cancel-service,ts-notification-service,1
18,ts-voucher-service,ts-voucher-mysql,1
19,ts-admin-user-service,ts-user-service,1
20,ts-consign-service,ts-consign-mongo,1
21,ts-consign-service,ts-consign-price-service,1
22,ts-contacts-service,ts-contacts-mongo,1
23,ts-food-service,ts-station-service,1
24,ts-food-service,ts-food-mongo,1
25,ts-food-service,ts-food-map-service,1
26,ts-food-service,ts-travel-service,1
27,ts-security-service,ts-order-service,1
28,ts-security-service,ts-security-mongo,1
29,ts-security-service,ts-order-other-service,1
30,ts-inside-payment-service,ts-order-service,1
31,ts-inside-payment-service,ts-order-other-service,1
32,ts-inside-payment-service,ts-payment-service,1
33,ts-inside-payment-service,ts-inside-payment-mongo,1
34,ts-user-service,ts-user-mongo,1
35,ts-user-service,ts-auth-service,1
36,ts-travel-service,ts-train-service,1
37,ts-travel-service,ts-route-service,1
38,ts-travel-service,ts-basic-service,1
39,ts-travel-service,ts-travel-mongo,1
40,ts-travel-service,ts-order-service,1
41,ts-travel-service,ts-seat-service,1
42,ts-food-map-service,ts-food-map-mongo,1
43,ts-order-other-service,ts-station-service,1
44,ts-order-other-service,ts-order-other-mongo,1
45,ts-payment-service,ts-payment-mongo,1
46,ts-auth-service,ts-verification-code-service,1
47,ts-auth-service,ts-auth-mongo,1
48,ts-ticketinfo-service,ts-basic-service,1
49,ts-seat-service,ts-config-service,1
50,ts-seat-service,ts-travel-service,1
51,ts-seat-service,ts-order-service,1
52,ts-seat-service,ts-order-other-service,1
53,ts-basic-service,ts-train-service,1
54,ts-basic-service,ts-route-service,1
55,ts-basic-service,ts-price-service,1
56,ts-basic-service,ts-station-service,1
57,ts-config-service,ts-config-mongo,1
58,ts-order-service,ts-order-mongo,1
59,ts-order-service,ts-station-service,1
60,ts-admin-basic-info-service,ts-contacts-service,1
61,ts-admin-basic-info-service,ts-station-service,1
62,ts-admin-basic-info-service,ts-train-service,1
63,ts-admin-basic-info-service,ts-config-service,1
64,ts-admin-basic-info-service,ts-price-service,1
65,ts-admin-order-service,ts-order-service,1
66,ts-admin-order-service,ts-order-other-service,1
67,ts-admin-route-service,ts-route-service,1
68,ts-admin-travel-service,ts-travel-service,1
69,ts-admin-travel-service,ts-travel2-service,1
70,ts-admin-travel-service,ts-station-service,1
71,ts-admin-travel-service,ts-route-service,1
72,ts-assurance-service,ts-assurance-mongo,1
73,ts-consign-price-service,ts-consign-price-mongo,1
74,ts-execute-service,ts-order-service,1
75,ts-execute-service,ts-order-other-service,1
76,ts-preserve-other-service,ts-ticketinfo-service,1
77,ts-preserve-other-service,ts-seat-service,1
78,ts-preserve-other-service,ts-user-service,1
79,ts-preserve-other-service,ts-assurance-service,1
80,ts-preserve-other-service,ts-station-service,1
81,ts-preserve-other-service,ts-security-service,1
82,ts-preserve-other-service,ts-travel2-service,1
83,ts-preserve-other-service,ts-contacts-service,1
84,ts-preserve-other-service,ts-order-other-service,1
85,ts-preserve-other-service,ts-food-service,1
86,ts-preserve-other-service,ts-consign-service,1
87,ts-price-service,ts-price-mongo,1
88,ts-rebook-service,ts-ticketinfo-service,1
89,ts-rebook-service,ts-seat-service,1
90,ts-rebook-service,ts-train-service,1
91,ts-rebook-service,ts-route-service,1
92,ts-rebook-service,ts-security-service,1
93,ts-rebook-service,ts-travel-service,1
94,ts-rebook-service,ts-travel2-service,1
95,ts-rebook-service,ts-order-service,1
96,ts-rebook-service,ts-order-other-service,1
97,ts-rebook-service,ts-inside-payment-service,1
98,ts-rebook-service,ts-rebook-mongo,1
99,ts-route-plan-service,ts-travel-service,1
100,ts-route-plan-service,ts-station-service,1
101,ts-route-plan-service,ts-route-service,1
102,ts-route-plan-service,ts-travel2-service,1
103,ts-route-service,ts-route-mongo,1
104,ts-station-service,ts-station-mongo,1
105,ts-ticket-office-service,ts-ticket-office-mongo,1
106,ts-train-service,ts-train-mongo,1
107,ts-travel-plan-service,ts-seat-service,1
108,ts-travel-plan-service,ts-route-plan-service,1
109,ts-travel-plan-service,ts-travel-service,1
110,ts-travel-plan-service,ts-travel2-service,1
111,ts-travel-plan-service,ts-ticketinfo-service,1
112,ts-travel-plan-service,ts-station-service,1
113,ts-travel2-service,ts-basic-service,1
114,ts-travel2-service,ts-train-service,1
115,ts-travel2-service,ts-route-service,1
116,ts-travel2-service,ts-seat-service,1
117,ts-travel2-service,ts-travel2-mongo,1
118,ts-news-service,ts-news-mongo,1
119,ts-avatar-service,ts-avatar-service,1
