Algorithm,Precision Level,Min,Max,Median,Mean,SD,CV,MAP
causalRCA,Precision@1,0.0,1.0,0.0,0.012,0.111,0.012,0.028
causalRCA,Precision@2,0.0,1.0,0.0,0.029,0.168,0.028,0.028
causalRCA,Precision@3,0.0,1.0,0.0,0.042,0.2,0.04,0.028
circa,Precision@1,0.0,1.0,0.0,0.033,0.18,0.032,0.061
circa,Precision@2,0.0,1.0,0.0,0.046,0.209,0.044,0.061
circa,Precision@3,0.0,1.0,0.0,0.104,0.305,0.094,0.061
MicroRCA,Precision@1,0.0,0.0,0.0,0.0,0.0,0.0,0.058
MicroRCA,Precision@2,0.0,1.0,0.0,0.071,0.257,0.066,0.058
MicroRCA,Precision@3,0.0,1.0,0.0,0.104,0.305,0.094,0.058
rcd,Precision@1,0.0,1.0,0.0,0.346,0.476,0.227,0.467
rcd,Precision@2,0.0,1.0,0.0,0.492,0.5,0.251,0.467
rcd,Precision@3,0.0,1.0,1.0,0.562,0.496,0.247,0.467
